10 10
[floor1]
0,0,0,0,0,0,0,0,-1,K2
0,A1,0,0,0,0,0,0,-1,D1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,UP,0,0,0,0
0,0,0,0,0,UP,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0
0,0,-1,D6,-1,-1,-1,-1,-1,-1
K6,0,-1,K7,0,D7,0,0,0,K8
[floor2]
K3,D2,0,0,0,0,0,0,0,0
-1,-1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-1,-1,-1
0,0,0,0,0,DO,D8,0,K9,0
0,0,0,0,0,DO,0,-1,-1,-1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
D9,-1,0,0,0,0,0,0,UP,D4
D5,-1,0,0,0,0,0,0,UP,0
T1,-1,0,0,0,0,0,0,UP,K5
[floor3]
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DO,0
D3,-1,0,0,0,0,0,0,DO,0
K4,-1,0,0,0,0,0,0,DO,K1
